"","ensembl_ids","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","SYMBOL"
"4096","ENSG00000115738.10",312.218682136211,-1.63314609392032,0.42762456340121,-3.81911198208708,0.000133932955542752,0.0199508090960431,"ID2"
"4369","ENSG00000118096.10",119.811198003775,1.14826432744861,0.330104181219433,3.47849070922647,0.000504245917197093,0.0437098593647175,"IFT46"
"4408","ENSG00000118515.12",236.297607374162,-1.86048035565247,0.469351590347731,-3.96393747014702,7.37235710364098e-05,0.0145018044924569,"SGK1"
"4446","ENSG00000118985.16",1724.547224805,-0.788820425638749,0.223539604081846,-3.52877258094245,0.000417491741834734,0.0390583889937215,"ELL2"
"4519","ENSG00000119699.8",84.4365809555057,1.2024208810153,0.33741189598627,3.56365882566344,0.000365721239383607,0.0362148658418613,"TGFB3"
"4663","ENSG00000120860.11",588.597391092903,0.926280957137804,0.241406403230513,3.83701900505647,0.000124536837625303,0.0191076869968502,"WASHC3"
"4728","ENSG00000121690.11",341.097730285985,-0.973179560570696,0.262649527197182,-3.70524010058502,0.00021119058319123,0.0267890988543739,"DEPDC7"
"5274","ENSG00000126391.14",1080.85662021045,-0.99576659085087,0.239780930392621,-4.15281811285153,3.28405761847328e-05,0.00816533593624933,"FRMD8"
"5284","ENSG00000126500.4",34.4460201665514,2.9894827400002,0.686188727618932,4.35664798862796,1.3206940975997e-05,0.00440508903032004,"FLRT1"
"5338","ENSG00000127129.10",67.2217372552307,-1.99273411905538,0.505398178900768,-3.94289928663681,8.05024674185173e-05,0.0150627970439306,"EDN2"
"5424","ENSG00000128165.9",440.656281166437,1.58465729348371,0.376552166805845,4.20833401896418,2.57260395021006e-05,0.00704847543001302,"ADM2"
"5594","ENSG00000129749.3",55.9995536217393,-2.604136268063,0.67335045727816,-3.8674307560279,0.000109988045307482,0.0177636482016073,"CHRNA10"
"5752","ENSG00000130829.18",1198.79077016433,-1.08393027542578,0.292547130961542,-3.70514751542127,0.000211267741731033,0.0267890988543739,"DUSP9"
"6022","ENSG00000132837.15",36.6195463167002,3.47955297259187,0.76050525309336,4.57531747274429,4.75498374679524e-06,0.00243185718756931,"DMGDH"
"6061","ENSG00000133083.15",250.709767184147,2.18410275876538,0.593909284986336,3.6775022953474,0.000235528957092972,0.0289097663094197,"DCLK1"
"6062","ENSG00000133101.10",196.150891457351,-2.51611068531172,0.40185525658025,-6.26123621406272,3.81937462095604e-10,1.17201329618657e-06,"CCNA1"
"6284","ENSG00000134864.11",151.27606773462,2.06278282287378,0.417497746572022,4.94082384829815,7.77931664578487e-07,0.000663100307201541,"GGACT"
"6457","ENSG00000135838.14",40.1710836129847,1.67891116687966,0.431706896813431,3.88900705379563,0.000100655192786558,0.0172532515821508,"NPL"
"6600","ENSG00000136689.20",33.5271739826475,-2.86821116800604,0.781417016803097,-3.67052560454897,0.000242052220208028,0.0294183237961675,"IL1RN"
"6732","ENSG00000137440.5",329.368570194439,-2.00659238577822,0.564901015780198,-3.55211325475643,0.000382150337421993,0.0371097001713015,"FGFBP1"
"6847","ENSG00000138036.18",289.235892727837,0.935278803942587,0.255329975645418,3.66301998650338,0.000249259081894139,0.0294183237961675,"DYNC2LI1"
"6898","ENSG00000138356.14",15.8189466282299,-5.04172202748304,1.44334456857779,-3.4930827587836,0.000477478507154273,0.0425927484608605,"AOX1"
"6904","ENSG00000138380.18",119.324523444266,1.4954254254579,0.393114950610922,3.80404109061212,0.000142354550789325,0.0202235728959316,"CARF"
"6923","ENSG00000138463.9",879.836043248427,1.10336430392969,0.253054462983517,4.36018511952328,1.29952458670585e-05,0.00440508903032004,"SLC49A4"
"7021","ENSG00000139174.12",104.10419565339,1.68118052646377,0.433016507841953,3.88248599306838,0.000103393973801008,0.0174326784618556,"PRICKLE1"
"7039","ENSG00000139269.3",2133.8229157506,2.30256687758431,0.587876918109732,3.91674992953971,8.9750762981365e-05,0.0160121622839893,"INHBE"
"7144","ENSG00000140044.13",1274.55941782144,1.12915124358131,0.234591956136234,4.81325643972882,1.48490546432401e-06,0.00094928768913014,"JDP2"
"7194","ENSG00000140465.15",2453.40559927223,2.80044568103864,0.673044512797537,4.16086251026471,3.1704792358685e-05,0.00816533593624933,"CYP1A1"
"7455","ENSG00000142669.15",2855.74186526336,-0.79598362812668,0.231746758857491,-3.43471309825807,0.000593181479528152,0.0484943553929457,"SH3BGRL3"
"7541","ENSG00000143333.7",67.7841036385849,2.50600869485217,0.411590155697575,6.08860212073079,1.139007919155e-09,2.49654264337074e-06,"RGS16"
"7590","ENSG00000143507.18",390.526683269027,-1.68269808308995,0.305786985041515,-5.50284402346785,3.73713029564254e-08,5.21261728418577e-05,"DUSP10"
"7605","ENSG00000143578.16",154.525838013588,0.944514632497217,0.272930732977965,3.46063861035933,0.000538895722716971,0.045624213044281,"CREB3L4"
"7855","ENSG00000145476.16",311.776111345969,1.77689200736327,0.286375081090207,6.20477173013372,5.47763515688794e-10,1.40072260353553e-06,"CYP4V2"
"8106","ENSG00000147642.17",1273.79074311911,1.68372372804049,0.410977565706876,4.096875032934,4.18764815762386e-05,0.00958971428095864,"SYBU"
"8135","ENSG00000148057.16",54.7890580522531,1.47842498178815,0.383305385865337,3.85704202525229,0.000114767436528826,0.0183424664443935,"IDNK"
"8151","ENSG00000148225.16",198.096194779778,1.88269736235278,0.420835779388367,4.47371030355131,7.68738769711691e-06,0.0032763219288018,"WDR31"
"8163","ENSG00000148344.11",1912.03043200971,-1.22654871951655,0.298558415250175,-4.10823697094177,3.98690919170767e-05,0.00926835571641982,"PTGES"
"8244","ENSG00000149150.9",351.25129035126,2.20361693171003,0.641977436032408,3.4325457687874,0.000597942948583723,0.0484943553929457,"SLC43A1"
"8277","ENSG00000149474.15",356.193242032275,1.02953007913509,0.238248928890185,4.32123696811928,1.55156932773691e-05,0.00495952670738905,"KAT14"
"8495","ENSG00000151773.13",92.6465962455444,1.62554335829925,0.395267008187548,4.11251970093077,3.91364061065808e-05,0.00923799813681953,"CCDC122"
"8500","ENSG00000151876.13",103.474593379251,1.39245851276279,0.318152376965833,4.37670315728091,1.2048788751408e-05,0.00420146740483757,"FBXO4"
"8662","ENSG00000153363.15",116.454588251989,1.42975881864562,0.320911367136064,4.45530749317274,8.37730371176787e-06,0.00347386407701769,"LINC00467"
