"","ensembl_ids","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","SYMBOL"
"3","ENSG00000000457.14",235.102913591498,1.15280141048318,0.300765984741629,3.83288493036699,0.000126649204199158,0.00172392342081175,"SCYL3"
"8","ENSG00000001084.13",2233.68576054558,0.527527359647666,0.166922763092489,3.16030809623832,0.00157602387444992,0.0117552646235039,"GCLC"
"9","ENSG00000001167.15",910.981134929098,-0.597078358470138,0.221257844666152,-2.69856356673385,0.00696394368097585,0.0356586150282464,"NFYA"
"12","ENSG00000001497.18",1643.68509599051,0.593224495018262,0.163482506771096,3.62867261295963,0.000284882241744136,0.00322175917027005,"LAS1L"
"13","ENSG00000001617.12",5148.61516286254,-1.00803111028895,0.29207523514507,-3.45127210045134,0.000557950746310228,0.00545221542125281,"SEMA3F"
"16","ENSG00000001630.18",135.054112537363,-0.66293322698077,0.259413075085942,-2.55551200247383,0.0106031704250568,0.0488216788222923,"CYP51A1"
"18","ENSG00000002016.18",421.618333438553,0.731825030280815,0.193801033012394,3.7761668186465,0.000159260349194521,0.00206374869164566,"RAD52"
"24","ENSG00000002726.21",1452.86426293284,-2.17710458234937,0.328994571832636,-6.61744833728409,3.65451870353017e-11,6.78981098346787e-09,"AOC1"
"33","ENSG00000003137.9",738.350476652792,-0.525032205699032,0.181974122313414,-2.88520257179628,0.00391161878604058,0.0233554333694059,"CYP26B1"
"35","ENSG00000003249.15",272.675657821084,-0.888451319727371,0.224477654776124,-3.95786084193298,7.56239920269257e-05,0.00114763201092682,"DBNDD1"
"39","ENSG00000003436.16",1348.23179774177,0.506334020362302,0.169402278042065,2.98894457745469,0.00279942905872405,0.0181873896975959,"TFPI"
"46","ENSG00000004142.12",4713.55730124193,0.410592773741899,0.152153096576251,2.6985502298741,0.00696422273094649,0.0356586150282464,"POLDIP2"
"47","ENSG00000004399.13",3116.52588492241,-0.464961286748031,0.162533384165864,-2.86071251844201,0.00422690149053173,0.0246615223179229,"PLXND1"
"57","ENSG00000004777.19",360.373870490013,-0.782879620321152,0.286070986590719,-2.7366620769593,0.00620660124900035,0.0327886401285816,"ARHGAP33"
"59","ENSG00000004799.8",245.940552721753,-0.870229496784321,0.224175412607021,-3.88191321547753,0.000103637865611599,0.00146506255478215,"PDK4"
"63","ENSG00000004864.14",636.02352350125,1.06763055838429,0.208757143045277,5.11422288507145,3.15035201381085e-07,1.421732993993e-05,"SLC25A13"
"69","ENSG00000004961.15",919.737527372609,0.620083413436081,0.191090900008085,3.24496568601565,0.00117464777340689,0.00953922474911075,"HCCS"
"71","ENSG00000005001.10",30.1699778654489,-2.0021833067795,0.475277585354832,-4.21266091327389,2.52379797535936e-05,0.000495273715164485,"PRSS22"
"72","ENSG00000005007.14",4337.91560177609,-0.801833007779397,0.171518082055952,-4.67491822534387,2.94070772453599e-06,9.14560102330693e-05,"UPF1"
"75","ENSG00000005059.16",391.801623312902,0.629687696829266,0.22323196636007,2.82077745000726,0.00479074257610321,0.0271861813937852,"MCUB"
"83","ENSG00000005187.12",56.054890962683,-1.05140450631383,0.370215625285956,-2.83997874347342,0.00451165400641661,0.0258795999261412,"ACSM3"
"85","ENSG00000005194.15",919.161158282948,0.538726438089176,0.166906433597136,3.22771523229301,0.00124783127822674,0.00998404601024146,"CIAPIN1"
"87","ENSG00000005238.20",786.387014577508,-1.09946884837702,0.175508606743678,-6.26447254511424,3.74089460135844e-10,5.35172381670339e-08,"ATOSB"
"95","ENSG00000005436.14",387.06797068217,0.667124473313245,0.214834517722313,3.10529462577119,0.00190089576520579,0.013509296978159,"GCFC2"
"103","ENSG00000005801.18",679.650885313252,0.484823488756724,0.177253722039661,2.73519496898488,0.00623433375328705,0.0328623355469877,"ZNF195"
"114","ENSG00000006015.18",367.467417945453,0.609007824422977,0.204013530938299,2.98513447427741,0.00283453682695961,0.0182908813019776,"REX1BD"
"115","ENSG00000006016.12",440.83301263451,-0.771101155822791,0.227384735257888,-3.3911737960257,0.000695939540747612,0.00644442458636521,"CRLF1"
"116","ENSG00000006025.12",2242.85336800069,-1.04748126486136,0.231341138986021,-4.5278642158179,5.95828465722999e-06,0.000161437917246841,"OSBPL7"
"118","ENSG00000006062.18",1716.74609404742,-0.494852015195257,0.162488370155146,-3.04546112883504,0.00232323807225314,0.0157517743420158,"MAP3K14"
"120","ENSG00000006118.15",4298.56338529955,-0.569171960570021,0.211417731578764,-2.69216756948305,0.00709892672860679,0.036179994933897,"TMEM132A"
"121","ENSG00000006125.18",17016.4085632995,-0.44347497888847,0.162563533819877,-2.72801020295147,0.00637176371753203,0.0333654654989067,"AP2B1"
"125","ENSG00000006283.18",82.6421135490614,-2.16545168374856,0.322138346802315,-6.72211708181834,1.79102941444128e-11,3.60879814126718e-09,"CACNA1G"
"127","ENSG00000006377.11",88.1874827963037,-0.757848812192491,0.296952007112498,-2.55209190051167,0.0107078270526573,0.0491769418347723,"DLX6"
"132","ENSG00000006468.15",189.768684776907,1.08992912482908,0.335906119870848,3.24474327900945,0.0011755655304569,0.00953922474911075,"ETV1"
"137","ENSG00000006606.9",47.7522549250519,-2.39172816861646,0.455516929872318,-5.25058019092037,1.51620878949196e-07,7.7467439080257e-06,"CCL26"
"139","ENSG00000006611.17",14.6862203272574,-2.03984117476878,0.685963903908898,-2.97368587930785,0.00294246127800831,0.0187672095600476,"USH1C"
"143","ENSG00000006652.15",511.756320626498,0.764057312173924,0.267901477325139,2.85200858092554,0.00434439278487157,0.025162300882742,"IFRD1"
