"","ensembl_ids","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","SYMBOL"
"9","ENSG00000001167.15",910.981134929098,-0.597078358470138,0.221257844666152,-2.69856356673385,0.00696394368097585,0.0356586150282464,"NFYA"
"13","ENSG00000001617.12",5148.61516286254,-1.00803111028895,0.29207523514507,-3.45127210045134,0.000557950746310228,0.00545221542125281,"SEMA3F"
"16","ENSG00000001630.18",135.054112537363,-0.66293322698077,0.259413075085942,-2.55551200247383,0.0106031704250568,0.0488216788222923,"CYP51A1"
"24","ENSG00000002726.21",1452.86426293284,-2.17710458234937,0.328994571832636,-6.61744833728409,3.65451870353017e-11,6.78981098346787e-09,"AOC1"
"33","ENSG00000003137.9",738.350476652792,-0.525032205699032,0.181974122313414,-2.88520257179628,0.00391161878604058,0.0233554333694059,"CYP26B1"
"35","ENSG00000003249.15",272.675657821084,-0.888451319727371,0.224477654776124,-3.95786084193298,7.56239920269257e-05,0.00114763201092682,"DBNDD1"
"47","ENSG00000004399.13",3116.52588492241,-0.464961286748031,0.162533384165864,-2.86071251844201,0.00422690149053173,0.0246615223179229,"PLXND1"
"57","ENSG00000004777.19",360.373870490013,-0.782879620321152,0.286070986590719,-2.7366620769593,0.00620660124900035,0.0327886401285816,"ARHGAP33"
"59","ENSG00000004799.8",245.940552721753,-0.870229496784321,0.224175412607021,-3.88191321547753,0.000103637865611599,0.00146506255478215,"PDK4"
"71","ENSG00000005001.10",30.1699778654489,-2.0021833067795,0.475277585354832,-4.21266091327389,2.52379797535936e-05,0.000495273715164485,"PRSS22"
"72","ENSG00000005007.14",4337.91560177609,-0.801833007779397,0.171518082055952,-4.67491822534387,2.94070772453599e-06,9.14560102330693e-05,"UPF1"
"83","ENSG00000005187.12",56.054890962683,-1.05140450631383,0.370215625285956,-2.83997874347342,0.00451165400641661,0.0258795999261412,"ACSM3"
"87","ENSG00000005238.20",786.387014577508,-1.09946884837702,0.175508606743678,-6.26447254511424,3.74089460135844e-10,5.35172381670339e-08,"ATOSB"
"115","ENSG00000006016.12",440.83301263451,-0.771101155822791,0.227384735257888,-3.3911737960257,0.000695939540747612,0.00644442458636521,"CRLF1"
"116","ENSG00000006025.12",2242.85336800069,-1.04748126486136,0.231341138986021,-4.5278642158179,5.95828465722999e-06,0.000161437917246841,"OSBPL7"
"118","ENSG00000006062.18",1716.74609404742,-0.494852015195257,0.162488370155146,-3.04546112883504,0.00232323807225314,0.0157517743420158,"MAP3K14"
"120","ENSG00000006118.15",4298.56338529955,-0.569171960570021,0.211417731578764,-2.69216756948305,0.00709892672860679,0.036179994933897,"TMEM132A"
"121","ENSG00000006125.18",17016.4085632995,-0.44347497888847,0.162563533819877,-2.72801020295147,0.00637176371753203,0.0333654654989067,"AP2B1"
"125","ENSG00000006283.18",82.6421135490614,-2.16545168374856,0.322138346802315,-6.72211708181834,1.79102941444128e-11,3.60879814126718e-09,"CACNA1G"
"127","ENSG00000006377.11",88.1874827963037,-0.757848812192491,0.296952007112498,-2.55209190051167,0.0107078270526573,0.0491769418347723,"DLX6"
"137","ENSG00000006606.9",47.7522549250519,-2.39172816861646,0.455516929872318,-5.25058019092037,1.51620878949196e-07,7.7467439080257e-06,"CCL26"
"139","ENSG00000006611.17",14.6862203272574,-2.03984117476878,0.685963903908898,-2.97368587930785,0.00294246127800831,0.0187672095600476,"USH1C"
"156","ENSG00000007047.16",2592.49458241815,-0.666438945493797,0.199832197632787,-3.33499282592314,0.000853015999220453,0.00749585189486966,"MARK4"
"176","ENSG00000007516.14",384.286349032851,-1.72923630194941,0.272186837395986,-6.35312243050776,2.10987656057779e-10,3.07998919139039e-08,"BAIAP3"
"183","ENSG00000007944.15",665.174086996136,-0.805599013048609,0.195472360659544,-4.12129372321711,3.76750717095043e-05,0.000682252627691353,"MYLIP"
"197","ENSG00000008294.22",2005.27461247141,-0.489667827909264,0.157794900708179,-3.10319171095928,0.00191445580316025,0.013538410637672,"SPAG9"
"200","ENSG00000008323.16",172.892194858604,-0.77322333153387,0.263766449790835,-2.93146960937234,0.00337362372978105,0.0208479745478392,"PLEKHG6"
"209","ENSG00000008517.19",2666.31798226713,-0.811588877837476,0.179432781569667,-4.52308029077934,6.0946107246199e-06,0.000164314851766592,"IL32"
"211","ENSG00000008735.14",61.4802516503709,-1.22451324970653,0.413143885145196,-2.96389053241388,0.00303776329019632,0.0192378227665111,"MAPK8IP2"
"233","ENSG00000010244.19",3519.15384097738,-0.569546171853003,0.196177064761782,-2.90322506631753,0.00369341103134749,0.0223353421576686,"ZNF207"
"236","ENSG00000010278.15",10537.9719772904,-0.764884854102952,0.259868899311649,-2.94334895837482,0.00324682213180455,0.0202128100163603,"CD9"
"238","ENSG00000010292.13",10772.4793531553,-0.694236217490649,0.21510634168396,-3.2274093457953,0.0012491661612031,0.00998848510784208,"NCAPD2"
"240","ENSG00000010310.9",127.239576758245,-0.778189919395542,0.256719148744935,-3.0312889521487,0.00243512088681135,0.0163323203969635,"GIPR"
"244","ENSG00000010327.10",12.2073618078498,-1.98481681669581,0.74153985698753,-2.67661515155643,0.00743700049040311,0.0374493942329134,"STAB1"
"247","ENSG00000010404.18",93.6154346499978,-0.823355660820423,0.285415173416175,-2.88476485312803,0.00391706118304321,0.0233781715830689,"IDS"
"260","ENSG00000011021.23",668.603170482496,-0.573728351022035,0.204673808364524,-2.8031351720403,0.00506084535004425,0.0282924789283834,"CLCN6"
"261","ENSG00000011028.14",1162.59658726575,-0.998676893020208,0.207078401982789,-4.82269943875272,1.41628302085997e-06,4.95387405780507e-05,"MRC2"
"275","ENSG00000011347.10",480.092174476023,-1.17075800161663,0.202580891366371,-5.77921241100325,7.50511243044489e-09,6.54683770914296e-07,"SYT7"
"278","ENSG00000011422.12",955.892943400026,-1.08726472615446,0.271487774888002,-4.0048386215659,6.20598336180069e-05,0.000989774782317956,"PLAUR"
"279","ENSG00000011426.11",8389.76942120115,-0.830080195635001,0.200058154166951,-4.14919451342277,3.33647216380996e-05,0.000622793108420952,"ANLN"
"288","ENSG00000011638.11",113.32722112812,-1.08923129744401,0.293534614488196,-3.71074225553665,0.000206652428177766,0.00251598493939865,"LDAF1"
"292","ENSG00000012124.17",30.4659604550505,-1.88920851531574,0.466529355098011,-4.04949548119828,5.13281688989837e-05,0.00087312816203194,"CD22"
"295","ENSG00000012211.13",1430.16138568991,-0.456184047453257,0.157090664300344,-2.90395390130295,0.00368482411048637,0.0223085457996691,"PRICKLE3"
"297","ENSG00000012232.10",3299.17510824587,-0.745068073376457,0.20875838524719,-3.56904501102663,0.000358284871821379,0.00386547765933383,"EXTL3"
