"","ensembl_ids","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","SYMBOL"
"3","ENSG00000000457.14",235.102913591498,1.15280141048318,0.300765984741629,3.83288493036699,0.000126649204199158,0.00172392342081175,"SCYL3"
"8","ENSG00000001084.13",2233.68576054558,0.527527359647666,0.166922763092489,3.16030809623832,0.00157602387444992,0.0117552646235039,"GCLC"
"12","ENSG00000001497.18",1643.68509599051,0.593224495018262,0.163482506771096,3.62867261295963,0.000284882241744136,0.00322175917027005,"LAS1L"
"18","ENSG00000002016.18",421.618333438553,0.731825030280815,0.193801033012394,3.7761668186465,0.000159260349194521,0.00206374869164566,"RAD52"
"39","ENSG00000003436.16",1348.23179774177,0.506334020362302,0.169402278042065,2.98894457745469,0.00279942905872405,0.0181873896975959,"TFPI"
"46","ENSG00000004142.12",4713.55730124193,0.410592773741899,0.152153096576251,2.6985502298741,0.00696422273094649,0.0356586150282464,"POLDIP2"
"63","ENSG00000004864.14",636.02352350125,1.06763055838429,0.208757143045277,5.11422288507145,3.15035201381085e-07,1.421732993993e-05,"SLC25A13"
"69","ENSG00000004961.15",919.737527372609,0.620083413436081,0.191090900008085,3.24496568601565,0.00117464777340689,0.00953922474911075,"HCCS"
"75","ENSG00000005059.16",391.801623312902,0.629687696829266,0.22323196636007,2.82077745000726,0.00479074257610321,0.0271861813937852,"MCUB"
"85","ENSG00000005194.15",919.161158282948,0.538726438089176,0.166906433597136,3.22771523229301,0.00124783127822674,0.00998404601024146,"CIAPIN1"
"95","ENSG00000005436.14",387.06797068217,0.667124473313245,0.214834517722313,3.10529462577119,0.00190089576520579,0.013509296978159,"GCFC2"
"103","ENSG00000005801.18",679.650885313252,0.484823488756724,0.177253722039661,2.73519496898488,0.00623433375328705,0.0328623355469877,"ZNF195"
"114","ENSG00000006015.18",367.467417945453,0.609007824422977,0.204013530938299,2.98513447427741,0.00283453682695961,0.0182908813019776,"REX1BD"
"132","ENSG00000006468.15",189.768684776907,1.08992912482908,0.335906119870848,3.24474327900945,0.0011755655304569,0.00953922474911075,"ETV1"
"143","ENSG00000006652.15",511.756320626498,0.764057312173924,0.267901477325139,2.85200858092554,0.00434439278487157,0.025162300882742,"IFRD1"
"152","ENSG00000006757.12",500.113199508434,1.0268087501561,0.230907811060597,4.44683419516994,8.71450480183891e-06,0.000216440461276228,"PNPLA4"
"178","ENSG00000007541.17",996.694879106784,0.695718452502396,0.203151702470221,3.42462526300698,0.000615647960958511,0.00588717173557229,"PIGQ"
"181","ENSG00000007923.17",970.839018520415,0.786744802242722,0.18450373508327,4.26411314593523,2.00697731871208e-05,0.000414311941147114,"DNAJC11"
"253","ENSG00000010704.19",383.224593004319,0.917964596170382,0.211100613617484,4.34846957779925,1.37090830478848e-05,0.000307884053505557,"HFE"
"265","ENSG00000011143.19",382.854614031965,0.56932978412654,0.221277599349091,2.57292100872965,0.0100844220922582,0.0470694102616137,"MKS1"
"289","ENSG00000011677.13",22.2710610143439,1.45566997594413,0.567381132096371,2.56559461285871,0.0102999126953145,0.0478877318879328,"GABRA3"
"290","ENSG00000012048.24",1823.1704353759,0.854797096705046,0.197140684638997,4.33597508434317,1.45115382091342e-05,0.00032186366762771,"BRCA1"
"294","ENSG00000012174.12",1431.35421342426,0.929366638144616,0.209429570608469,4.4376094333024,9.09634785891148e-06,0.000224366124947565,"MBTPS2"
"310","ENSG00000013392.8",177.905612764475,0.698160359560784,0.261875602218727,2.66600001544878,0.0076759689437108,0.0383825276856787,"RWDD2A"
"312","ENSG00000013503.10",309.307579692552,1.27924122990303,0.235597101787495,5.42978338951252,5.64224919969516e-08,3.54026390573855e-06,"POLR3B"
"314","ENSG00000013561.18",933.351191862266,0.769818966449283,0.20108045863639,3.82841262482563,0.000128972401421723,0.00174228439540998,"RNF14"
"328","ENSG00000014824.14",1774.72910898896,0.712501967495903,0.1632867303614,4.36350195707229,1.27996795136773e-05,0.000291116399241125,"SLC30A9"
"333","ENSG00000015171.21",1569.14161268262,1.04001121612409,0.222536456761959,4.67344196657429,2.96193426574904e-06,9.19048240476261e-05,"ZMYND11"
"343","ENSG00000016391.11",76.4325045937639,1.35258825239499,0.347863293125517,3.88827530562975,0.000100959073595358,0.001441437631592,"CHDH"
"344","ENSG00000016402.14",68.1744136565997,1.34229964986437,0.343026163860584,3.91311156781009,9.11144116488395e-05,0.00131548458664488,"IL20RA"
"357","ENSG00000018699.13",666.472581274528,0.571438371058818,0.184077706875916,3.10433229942405,0.00190709006383654,0.0135190940024149,"TTC27"
"363","ENSG00000019485.14",845.277502660027,0.615165084544854,0.231844690262994,2.65334989491042,0.00796972090284935,0.0395335739376431,"PRDM11"
"369","ENSG00000020129.16",793.621948264859,0.615227208302113,0.197303896894154,3.11817058855233,0.00181977441214166,0.0130954188833494,"NCDN"
"372","ENSG00000020426.11",867.00985835388,0.608878517899882,0.185305784119863,3.28580416845508,0.00101691682518377,0.00858796464054252,"MNAT1"
"373","ENSG00000020577.14",517.349977430708,0.672257544602532,0.242819944850772,2.76854335427709,0.00563074935862239,0.0306520168662298,"SAMD4A"
"390","ENSG00000022976.16",204.434364074019,1.07670084527308,0.256042893995931,4.20515808296632,2.6089973470329e-05,0.000507353573928918,"ZNF839"
"399","ENSG00000023572.10",420.398991998671,0.912530787733763,0.244674662395742,3.7295679854983,0.000191808350053964,0.00237782517839862,"GLRX2"
"401","ENSG00000023697.13",1154.50853864513,0.630385132934321,0.16595447883225,3.79854245194265,0.000145549502111245,0.0019208774697449,"DERA"
